,Name,Nationality,Score,Topic,compound,neg,neu,pos,business_trip,leisure,group,couple,family,friends,solo,"Nationality_Abkhazia, ​ Georgia",Nationality_Albania,Nationality_Antigua & Barbuda,Nationality_Argentina,Nationality_Armenia,Nationality_Aruba,Nationality_Australia,Nationality_Austria,Nationality_Bahamas,Nationality_Bahrain,Nationality_Bangladesh,Nationality_Belarus,Nationality_Belgium,Nationality_Belize,Nationality_Bermuda,Nationality_Bolivia,Nationality_Bosnia and Herzegovina,Nationality_Brazil,Nationality_Brunei,Nationality_Bulgaria,Nationality_Burkina Faso,Nationality_Canada,Nationality_Cayman Islands,Nationality_Chile,Nationality_China,Nationality_Colombia,Nationality_Cook Islands,Nationality_Costa Rica,Nationality_Croatia,Nationality_Cyprus,Nationality_Czech Republic,Nationality_Denmark,Nationality_Dominican Republic,Nationality_Ecuador,Nationality_Egypt,Nationality_El Salvador,Nationality_Estonia,Nationality_Fiji,Nationality_Finland,Nationality_France,Nationality_Georgia,Nationality_Germany,Nationality_Gibraltar,Nationality_Greece,Nationality_Guam,Nationality_Guernsey,Nationality_Hong Kong,Nationality_Hungary,Nationality_Iceland,Nationality_India,Nationality_Indonesia,Nationality_Iran,Nationality_Iraq,Nationality_Ireland,Nationality_Isle of Man,Nationality_Israel,Nationality_Italy,Nationality_Jamaica,Nationality_Japan,Nationality_Jersey,Nationality_Jordan,Nationality_Kazakhstan,Nationality_Kenya,Nationality_Kuwait,Nationality_Latvia,Nationality_Lebanon,Nationality_Lithuania,Nationality_Luxembourg,Nationality_Macau,Nationality_Macedonia,Nationality_Malaysia,Nationality_Maldives,Nationality_Malta,Nationality_Mexico,Nationality_Montenegro,Nationality_Nepal,Nationality_Netherlands,Nationality_New Caledonia,Nationality_New Zealand,Nationality_Nigeria,Nationality_Norway,Nationality_Oman,Nationality_Pakistan,Nationality_Panama,Nationality_Papua New Guinea,Nationality_Paraguay,Nationality_Philippines,Nationality_Poland,Nationality_Portugal,Nationality_Puerto Rico,Nationality_Qatar,Nationality_Romania,Nationality_Russia,Nationality_Saudi Arabia,Nationality_Serbia,Nationality_Singapore,Nationality_Slovakia,Nationality_Slovenia,Nationality_South Africa,Nationality_South Korea,Nationality_Spain,Nationality_Sri Lanka,Nationality_St. Maarten,Nationality_Suriname,Nationality_Sweden,Nationality_Switzerland,Nationality_Taiwan,Nationality_Tanzania,Nationality_Thailand,Nationality_Trinidad and Tobago,Nationality_Turkey,Nationality_Turks & Caicos Islands,Nationality_Uganda,Nationality_Ukraine,Nationality_United Arab Emirates,Nationality_United Kingdom,Nationality_United States Minor Outlying Islands,Nationality_United States of America,Nationality_Uruguay,Nationality_Venezuela,Nationality_Vietnam,Nationality_Yemen,Date_new,Review_times
0,Diego,Costa Rica,8.3,Location and room size,0.0,0.0,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"April 19, 2018",3
1,Adelaide,Australia,9.6,A GREAT stay!,0.729,0.0,0.163,0.837,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"April 19, 2018",3
2,Judith,United States of America,4.2,Could not wait to leave and will never come back to your hotel or Las Vegas.,0.0382,0.0,0.929,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"April 17, 2018",1
3,Moises,United States of America,6.3,Had an overall comforting overnight stay in Vegas Caesars Palace is awesome,0.7783,0.0,0.595,0.405,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"April 15, 2018",1
4,Rrss,Canada,2.5,Very disappointing,-0.5413,0.777,0.223,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"April 15, 2018",1
5,Vilius_,Lithuania,7.5,"very interesting, but not an option for a Family",0.2492,0.0,0.778,0.222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"April 10, 2018",36
6,Margaret,United Kingdom,7.1,served purpose of attending son's wedding in Venus Garden,0.0,0.0,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"April 9, 2018",5
7,Martin,Bulgaria,3.3,Worst experience ever!,-0.6588,0.687,0.313,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"April 9, 2018",2
8,Anonymous,Taiwan,8.8,Overpriced.,0.0,0.0,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"April 8, 2018",2
9,Samantha,Australia,8.8,Beds were fabulous and the room was exceptional.,0.5267,0.0,0.673,0.327,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"April 6, 2018",3
