,Name,Nationality,Date,Score,Topic,Tags,History reviews,
0,Diego,Costa Rica,"Reviewed: April 19, 2018",8.3,Location and room size,"??Business trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",3 Reviews,
1,Adelaide,Australia,"Reviewed: April 19, 2018",9.6,A GREAT stay!,"??Leisure trip??Group??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",3 Reviews,
2,Judith,United States of America,"Reviewed: April 17, 2018",4.2,Could not wait to leave and will never come back to your hotel or Las Vegas.,"??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",1 review,
3,Moises,United States of America,"Reviewed: April 15, 2018",6.3,Had an overall comforting overnight stay in Vegas Caesars Palace is awesome,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
4,Rrss,Canada,"Reviewed: April 15, 2018",2.5,Very disappointing,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
5,Vilius_,Lithuania,"Reviewed: April 10, 2018",7.5,"very interesting, but not an option for a Family","??Leisure trip??Solo traveler??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights",36 Reviews,
6,Margaret,United Kingdom,"Reviewed: April 9, 2018",7.1,served purpose of attending son's wedding in Venus Garden,"??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night",5 Reviews,
7,Martin,Bulgaria,"Reviewed: April 9, 2018",3.3,Worst experience ever!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",2 Reviews,
8,Anonymous,Taiwan,"Reviewed: April 8, 2018",8.8,Overpriced.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
9,Samantha,Australia,"Reviewed: April 6, 2018",8.8,Beds were fabulous and the room was exceptional.,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights",3 Reviews,
10,From,United States of America,"Reviewed: April 4, 2018",6.7,Be prepared to pay extremely high prices for everything!,"??Leisure trip??Couple??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 2 nights",2 Reviews,
