,Name,Nationality,Date,Score,Topic,Tags,History reviews,latitude,longitude
0,Diego,Costa Rica,"Reviewed: April 19, 2018",8.3,Location and room size,"??Business trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",3 Reviews,9.748917,-83.753428
1,Adelaide,Australia,"Reviewed: April 19, 2018",9.6,A GREAT stay!,"??Leisure trip??Group??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",3 Reviews,-25.274398,133.775136
2,Judith,United States of America,"Reviewed: April 17, 2018",4.2,Could not wait to leave and will never come back to your hotel or Las Vegas.,"??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",1 review,37.09024,-95.712891
3,Moises,United States of America,"Reviewed: April 15, 2018",6.3,Had an overall comforting overnight stay in Vegas Caesars Palace is awesome,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
4,Rrss,Canada,"Reviewed: April 15, 2018",2.5,Very disappointing,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,56.130366,-106.34677099999999
5,Vilius_,Lithuania,"Reviewed: April 10, 2018",7.5,"very interesting, but not an option for a Family","??Leisure trip??Solo traveler??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights",36 Reviews,55.169438,23.881275
6,Margaret,United Kingdom,"Reviewed: April 9, 2018",7.1,served purpose of attending son's wedding in Venus Garden,"??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night",5 Reviews,55.378051,-3.435973
7,Martin,Bulgaria,"Reviewed: April 9, 2018",3.3,Worst experience ever!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",2 Reviews,42.733883,25.48583
8,Anonymous,Taiwan,"Reviewed: April 8, 2018",8.8,Overpriced.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,23.69781,120.96051499999999
9,Samantha,Australia,"Reviewed: April 6, 2018",8.8,Beds were fabulous and the room was exceptional.,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights",3 Reviews,-25.274398,133.775136
10,From,United States of America,"Reviewed: April 4, 2018",6.7,Be prepared to pay extremely high prices for everything!,"??Leisure trip??Couple??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 2 nights",2 Reviews,37.09024,-95.712891
11,Lisa,United Kingdom,"Reviewed: April 4, 2018",8.8,Great rooms in a fab central location,??Leisure trip??Family with young children??2 rooms??Stayed 3 nights??Submitted from a mobile device,8 Reviews,55.378051,-3.435973
12,James,Ireland,"Reviewed: April 3, 2018",5.8,booking.com I have used for years no problem this time paid and never recived,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",2 Reviews,53.41291,-8.243889999999999
13,Bobbi,United States of America,"Reviewed: April 1, 2018",10.0,"excellent location. Great facilities. Comfortable, spacious rooms.  Will definitely choose again","??Leisure trip??Family with young children??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 4 nights",1 review,37.09024,-95.712891
14,Melanie,Canada,"Reviewed: March 31, 2018",6.7,Nightmare and a rip off,??Leisure trip??Family with young children??2 rooms??Stayed 2 nights,9 Reviews,56.130366,-106.34677099999999
15,Richard,United Kingdom,"Reviewed: March 30, 2018",7.1,"Loved Vegas, location and facilities, but room looked tired and a lot of issues with equipment","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",5 Reviews,55.378051,-3.435973
16,Anonymous,Israel,"Reviewed: March 30, 2018",5.0,Rough around the edges,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",5 Reviews,31.046051000000002,34.851612
17,Stephanie,United States of America,"Reviewed: March 29, 2018",5.4,The room was old and stinky???,"??Leisure trip??Couple??Forum Petite Suite, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,37.09024,-95.712891
18,Judy,United States of America,"Reviewed: March 29, 2018",7.5,Vegas BD trip,"??Leisure trip??Travelers with friends??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",12 Reviews,37.09024,-95.712891
19,Callie,Australia,"Reviewed: March 28, 2018",3.3,Pretty ordinary for the US$900 I paid.,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",3 Reviews,-25.274398,133.775136
20,Tina,United States of America,"Reviewed: March 27, 2018",9.2,Great location for the show we wanted to see.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",32 Reviews,37.09024,-95.712891
21,Kamal,United Arab Emirates,"Reviewed: March 25, 2018",10.0,Th check in and out automation is really good and save a lot...,"??Business trip??Group??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",6 Reviews,23.424076,53.847818000000004
22,Lateifah,United Kingdom,"Reviewed: March 24, 2018",7.5,"Loved the location, loved the cleanliness of the room and...","??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",4 Reviews,55.378051,-3.435973
23,Natasha,Russia,"Reviewed: March 24, 2018",6.7,Meh,"??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",49 Reviews,61.52401,105.31875600000001
24,Nicholas,United Kingdom,"Reviewed: March 22, 2018",7.9,Disappointing,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",6 Reviews,55.378051,-3.435973
25,Teri,United States of America,"Reviewed: March 21, 2018",7.5,Will not stay here again. Front desk refused to give even a half hour late checkout,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",13 Reviews,37.09024,-95.712891
26,Rick,United States of America,"Reviewed: March 20, 2018",9.2,Great visit!!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
27,Darlene,United States of America,"Reviewed: March 19, 2018",8.3,"Very nice casino and the staff was excellent, but try not to eat there!!!","??Leisure trip??Couple??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 3 nights",2 Reviews,37.09024,-95.712891
28,Anonymous,New Zealand,"Reviewed: March 19, 2018",7.1,Fine,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,-40.900557,174.88597099999998
29,Lora,United States of America,"Reviewed: March 18, 2018",9.2,I like Caesars and would stay again.  The amenities were useful and staff was kind.,"??Leisure trip??Group??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
30,Lenny,United States of America,"Reviewed: March 18, 2018",7.5,"Bed GREAT! Spa GREAT! Air Freshener everywhere (room, lobby, casino), VERY BAD!","??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",3 Reviews,37.09024,-95.712891
31,Amir,United States of America,"Reviewed: March 16, 2018",6.3,"Big, Clean Rooms in a great locations, But not really for family with small kids.","??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night",4 Reviews,37.09024,-95.712891
32,Alex,Switzerland,"Reviewed: March 14, 2018",8.3,The place is huge and has everything you might need (big...,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",6 Reviews,46.818188,8.227511999999999
33,reynoldswallis,United States of America,"Reviewed: March 14, 2018",6.3,"Beautiful, but not secure, hotel","??Leisure trip??Group??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights",4 Reviews,37.09024,-95.712891
34,Jordan,United States of America,"Reviewed: March 14, 2018",10.0,Ordered room service (pizza) and they brought it sooner than...,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
35,Patrick,Denmark,"Reviewed: March 13, 2018",5.0,Not coming back,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,56.26392,9.501785
36,Marion,Ireland,"Reviewed: March 13, 2018",10.0,Lovely hotel in perfect location,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",13 Reviews,53.41291,-8.243889999999999
37,Christopher,United Kingdom,"Reviewed: March 11, 2018",9.6,Upgraded for free.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",13 Reviews,55.378051,-3.435973
38,Kelly,United States of America,"Reviewed: March 11, 2018",6.7,busy big and overpriced,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",1 review,37.09024,-95.712891
39,Michael,United States of America,"Reviewed: March 8, 2018",8.5,I thought not a good value at all since the room is already expensive and they charged extra for alm,"??Leisure trip??Couple??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
40,Ronald,United States of America,"Reviewed: March 8, 2018",10.0,Very pleased!!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
41,Stewart,Ireland,"Reviewed: March 7, 2018",10.0,"Luxury, excellent service, amazing food and fantastic customer service - what's not to LOVE","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",10 Reviews,53.41291,-8.243889999999999
42,Gregory,United States of America,"Reviewed: March 6, 2018",9.2,Luxury with luxury pricing.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night",9 Reviews,37.09024,-95.712891
43,Edgar,United States of America,"Reviewed: March 4, 2018",7.5,Average hotel nothing outstanding,"??Leisure trip??Family with young children??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,37.09024,-95.712891
44,Kelly,United States of America,"Reviewed: March 4, 2018",10.0,Loved every minute I spent there!,"??Business trip??Solo traveler??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
45,Irisbeth,United States of America,"Reviewed: March 2, 2018",5.0,Too expensive for the price and I have to pay extra for early check in,"??Leisure trip??Couple??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
46,Star1960,United States of America,"Reviewed: February 27, 2018",10.0,I will return to Caesars Palace on my next trip to Las Vegas,"??Leisure trip??Family with young children??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 2 nights",16 Reviews,37.09024,-95.712891
47,Anonymous,United Kingdom,"Reviewed: February 27, 2018",9.2,Two Nights  in Vegas ,"??Leisure trip??Couple??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,55.378051,-3.435973
