,neg_review
0,"눉
where to start.ok first when I booked I opted for breakfast plan  to be told on arrival at hotel we had a 10$ each day only to spend in certain shops as if they where to give a breakfast to everybody (even though I had paid for it on booking it)the hotel would close????.2nd the room was a mess on check in.3rd sockets hanging of walls I took pictures.4th shower area when showering the water was coming out onto the floor as it was a wet room and the lean to the drain wasn't right I also slipped 1 night.over all felt after all my years with booking .com I was mislead and disappointed."
1,"눉
we were paranoid about moving/touching mini bar and snacks. Were told that everything was weighted and we would be charged just for moving something."
2,"눉
I would not return. Our stay was a nightmare from start to finish.
Huge line up to check in if you could get near the entrance with your car. offered express check-in but tried to use and could not because had two rooms. Extra charges for everything ! suppose to include breakfast did not ! It was expensive - $17 US for a glass of wine"
3,"눉
TV jammed and had to call engineer delaying getting to sleep for an hour
Blinds stopped working
Coffee machine did not work
Sink plug jammed and unable to let water drain
All these issues for an upgraded room.
Room look a little dated and tired"
4,"눉
The toilet paper is rough, there is no cotton swabs or complementary water or toothbrush.  When I travel around the world to 5star hotels I expect water. Toothbrush and toilet paper that doesn't scar with every swipe."
5,"눉
Staff was very rude. Everyone in general was rude! The room decor looked old and it smelled like stale cigarettes! There was absolutely no view! We had got the forum suite so I don’t know if all of these suites view is a wall out the window! Carpet was very dirty! We stayed at Sams Town the 3 nights prior and their B suite was BY FAR cleaner and WAY more modern! Our expectations were REALLY high after staying there! Will not return to caesars palace EVER AGAIN!"
6,"눉
The fact that there was a kurig but no coffee.  The bottle of water in the room was $7.00...that is shameful! I understand they want you in the casino...where I could get water for free, but it would break the bank to actually have a couple of these amenities in the room.
We recieved 10.00 off a night for not having our room serviced...but only after the 1st nite...why not all the nites we were there. Drinks were outrageously priced...we were in NV  after all!"
7,"눉
Check in was really slow. Ok, there was also a new girl who checked us in and had to ask for help with checking us in, provided us with some wrong information regarding breakfast as well. The room is actually very worn out. There were 3 bathroom lights at the sink area and 1 didn’t work. The bathroom had a really bad ordour, didn’t complain about it...figured I’m not sleeping In there. The bath towels are really worn out"
8, yellow and tattered. I expect more from a 5 star hotel. I stayed in the Augustus tower.
9,"눉
Pricey amenities"
10," couldn't use the mini frig without a $25 fee. ""Smokey"" lobby, hallways and restaurants, could have filtered the air better."
11,"눉
The Chinese/Asian food restaurant is very bad and quality of of food is horrible."
12,"눉
The lack of clarity regarding the room food credit
The wifi strength and connectivity was terrible"
13,"눉
Overrated. Service was not satisfactory. At the check in all of the three of our suit cases were delivered to our room dirty and scratched. Place itself looks dingy inside (but, to be honest, so does every other hotel in Vegas, cause they look like they are in need of renovation since the 80-s). Room is ok and looks recently renovated, but the cleaning services were disappointing: housekeeping did not wipe a sticky table, forgot a dirty towel on the top of one of our suite cases, did not provide us with new set of paper cups for coffe after throwing away the old ones. There was alcohol in a mini bar and zero glasses to drink it from. New towels did not feel fresh. The information on booking.com regarding the price of parking was misleading: the booking said that there is a parking that costs 10$ (they did not indicate that 10$ is per 12 hours of parking only). And they did not warn that Caesars charges 23$ per 12 hours of parking."
14,"눉
10 min walk from car park to reception with luggage not offered porter service to or from room although it is availble we were not told this until check out .Iwalk with a stick .No free wi fi .charge for in room tea and coffee  .We stayed here as a treat what a disappointment !"
15,"눉
Bathtub not available as promised. Staff seemed untrained and unhelpful for the most part. Bell and valet staff were prompt and friendly. Casino was awful."
16,"눉
The smoke smell you can’t escape when trying to go anywhere inside or when you are just plain lost😳😏😂."
17,"눉
Way over priced at the restaurants and bars... no refrigerators in the room. You had to pay $20 a day for one. Having a little thing such as a refrig would have offset the high prices at the hotel eateries!!"
18,"눉
Very expensive to eat drink and for a room is over rated when you have to pay to have Mimi fridge opened.  Never had to pay this before!!!
Shower door leaked too."
19,"눉
There was a coffee maker in our room but no coffee.  
I realize when valet is busy they are stressed but no need to be rude."
20,"눉
They must pump Febreze into the HVAC system, I'm allergic to those products. So I had headache, sinus issues, and breathing issues. It wasn't as noticeable in my room, but still affected me there too."
21,"눉
This is definitely not an hotel for kids, we were stuck at a distant location in the hotel. there was a 'smoking' scent almost everywhere, especially on the ground floor where you have to walk to get out of the hotel or even to hotel restaurants. .  I think a fair warning should have been put up."
22,"눉
The same that I dislike about most american hotels"
23, no breakfast.
24,"눉
After our first night at the hotel, we discovered our hotel door didn't latch fully each time, even though it sounded and looked closed. We woke up that first morning to discover our wallets had been stolen (while we were asleep in the room!) and learned the term ""door pusher."" The security officer told us we weren't the only people to have our rooms broken into that night. The hotel let us change to a bigger room in a different tower, but only comped us for the first night, which was not nearly as valuable as the money we lost, nor made up for the inconvenience of being in Las Vegas for 3 days without access to any money. We also learned the hotel only has cameras in some towers (so avoid Julius tower), and doesn't require a keycard to access hotel floors, meaning anyone can lurk around the hotel hallways at anytime."
25,"눇
Ordered room service (pizza) and they brought it sooner than estimated and brought place settings, fresh Parmesan, red pepper flakes.  My son felt like we were celebs!  Caesars is just always good. We had so much fun walking around the shops the next day.  I’d valet next time as self parking is quite a ways from some of the towers/rooms and we walked quite a ways with our luggage. Overall, great stay!"
26,"눉
Check in staff was unhelpful. The valet parking gets full, so you are not sure if you can park or not. First room had broken glass all over it. Second room was very loud. Pool got closed for an event. The air in the hotel smells bad on our floor."
27,"눉
Not enough loungers at pool. Towels left on unoccupied beds for hours while people look for loungers. Unfair as resort fees are high ..."
