,Overall_review,date,name,nationality,rating,review_times,tag
0,booking.com I have used for years no problem this time paid and never recived,"Reviewed: April 3, 2018",James,Ireland,5.8,2 Reviews,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 5 nights


• Submitted from a mobile device"
1,"excellent location. Great facilities. Comfortable, spacious rooms.  Will definitely choose again","Reviewed: April 1, 2018",Bobbi,United States of America,10,1 review,"• Leisure trip


• Family with young children


• Augustus Strip View, 2 Queens, Non-Smoking


• Stayed 4 nights"
2,Nightmare and a rip off,"Reviewed: March 31, 2018",Melanie,Canada,6.7,9 Reviews,"• Leisure trip


• Family with young children


• 2 rooms


• Stayed 2 nights"
3,"Loved Vegas, location and facilities, but room looked tired and a lot of issues with equipment","Reviewed: March 30, 2018",Richard,United Kingdom,7.1,3 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 3 nights"
4,Rough around the edges,"Reviewed: March 30, 2018",Anonymous,Israel,5.0,5 Reviews,"• Leisure trip


• Family with young children


• Octavius Premium Room, 2 Queens, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
5,The room was old and stinky❗️,"Reviewed: March 29, 2018",Stephanie,United States of America,5.4,2 Reviews,"• Leisure trip


• Couple


• Forum Petite Suite, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
6,Vegas BD trip,"Reviewed: March 29, 2018",Judy,United States of America,7.5,11 Reviews,"• Leisure trip


• Travelers with friends


• Forum Classic, 2 Queen Beds, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
7,Pretty ordinary for the US$900 I paid.,"Reviewed: March 28, 2018",Callie,Australia,3.3,3 Reviews,"• Leisure trip


• Couple


• Octavius Premium Room, 1 King, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
8,Great location for the show we wanted to see.,"Reviewed: March 27, 2018",Tina,United States of America,9.2,32 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights"
9,Th check in and out automation is really good and save a lot...,"Reviewed: March 25, 2018",Kamal,United Arab Emirates,10,6 Reviews,"• Business trip


• Group


• Palace Premium Room, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
10,"Loved the location, loved the cleanliness of the room and...","Reviewed: March 24, 2018",Lateifah,United Kingdom,7.5,4 Reviews,"• Leisure trip


• Family with young children


• Julius Deluxe Room, 2 Queens, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
11,Meh,"Reviewed: March 24, 2018",Natasha,Russia,6.7,49 Reviews,"• Leisure trip


• Group


• Forum Classic, 2 Queen Beds, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
12,Disappointing,"Reviewed: March 22, 2018",Nicholas,United Kingdom,7.9,6 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 1 night


• Submitted from a mobile device"
13,Will not stay here again. Front desk refused to give even a half hour late checkout,"Reviewed: March 21, 2018",Teri,United States of America,7.5,13 Reviews,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights


• Submitted from a mobile device"
14,Great visit!!,"Reviewed: March 20, 2018",Rick,United States of America,9.2,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
15,"Very nice casino and the staff was excellent, but try not to eat there!!!","Reviewed: March 19, 2018",Darlene,United States of America,8.3,2 Reviews,"• Leisure trip


• Couple


• Palace Premium Room, 2 Queen Beds, Non-Smoking


• Stayed 3 nights"
16,Fine,"Reviewed: March 19, 2018",Anonymous,New Zealand,7.1,1 review,"• Leisure trip


• Couple


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 4 nights


• Submitted from a mobile device"
17,I like Caesars and would stay again.  The amenities were useful and staff was kind.,"Reviewed: March 18, 2018",Lora,United States of America,9.2,1 review,"• Leisure trip


• Group


• Palace Premium Room, 2 Queen Beds, Non-Smoking


• Stayed 3 nights


• Submitted from a mobile device"
18,"Bed GREAT! Spa GREAT! Air Freshener everywhere (room, lobby, casino), VERY BAD!","Reviewed: March 18, 2018",Lenny,United States of America,7.5,3 Reviews,"• Leisure trip


• Solo traveler


• Forum Classic, 1 King Bed, Non-Smoking


• Stayed 2 nights"
