,pos_review
0,"눇
the bed was comfortable.locations was great."
1,"눇
rooms were spacious, comfortable. plenty of room for 3 of us. double vanity bathroom sink a plus. could probably use another outlet in bathroom, but we loved the view (overlooking Bellagio fountains, Eiffel Tower and strip).
The only downer was price of drinks at the pool. 3 drinks (with tax and tip) came to $96.  they definitely weren't worth that."
2,"눇
the room it self was great - clean and comfortable. It was a bait and switch - had to pay extra , hotel blamed it on Booking.com. But never had these problems before with Booking.com, which we have used many times in the last 10 years."
3,"눇
Location excellent"
4,"눇
The pools. Location. And property is nice... But..."
5,"눇
The bed"
6,"눇
The room was quiet,  thanks to the very heavy door.  Beds were comfortable. I liked getting a text msg, asking if we needed anything. The staff was very friendly."
7,"눇
The location is great however bear in mind all the hotels around are within 5 minutes walking distance."
8,"눇
Great location for the show we wanted to see. Great staff. Good restaurant choices."
9,"눇
Th check in and out automation is really good and save a lot of time, efforts"
10,"눇
Loved the location, loved the cleanliness of the room and the many options of entertainment and beverages of the hotel"
11,"눇
Great location, close to the main attractions."
12,"눇
spacious room"
13,"눇
Nice bed and shower"
14,"눇
Plenty of room in the bathroom ( tub, toilets, sinks and shower). Loved the soaker tub! Plenty of choices to eat! There was a buffet, plenty of fast food choices, and nice to high end restaurants.  Disappointed with the miniature chocolate lava cake at the buffet. It did not lava!!  Loved the shrimp and grits and the Mac and cheese though! The ribeye steak at Gordon Ramsey’s Pub and Grill did not meet expectations. The two desserts there was great though. The best reason to go was the Reba / Brooks and Dunn concert!!! It was great!!!"
15,"눇
The over all restaurants and bars were good! The staff was excellent as well as the location."
16,"눇
Shops and staff  n shops were very helpful"
17,"눇
I liked the texting concierge.  She was very quick to get back to me.  Very helpful & kind."
18,"눇
The bed was exceptionally comfortable, maybe the best bed ever.  Also, Qua Spa was an absolutely amazing experience, I received the best massage I have EVER had there!"
19,"눇
The room was clean, big."
20,"눇
The place is huge and has everything you might need (big casino, pool, gym, bars, restaurants, shops, nightclub etc). Basically you could live there, have a good time and never even leave the building."
21,"눇
The hotel grounds were really beautiful, especially the pool areas. The restaurants we ate at in the hotel were also great. All of the staff we encountered were nice and professional."
22,Stayed in March 2018
23,Stayed in March 2018
24,"눇
Lovely hotel in perfect location"
25,"눇
Upgraded for free. Spacious room with jacuzzi bath. Excellent location. Clean rooms."
26,"눇
roomy awesome shower"
27,"눇
The two bathroom option was really nice. The buffet was awesome! People were friendly!!!"
28,"눇
Free up grade was nice giving us top floor with amazing view of the pools and courtyard. Bathroom was huge and luxurious, pillows amazing and seating area was plush! Overall very satisfied and will be back!"
29,"눇
Bacchanal Buffet - FANTASTIC, amazing choice of food to ensure everyone gets what they love.  Lobster Bisque was to die for."
30,Stayed in March 2018
31,"눇
The room was nice and organized, beds were comfortable."
32,"눇
The bed was super comfy, the jet tub was unexpected and delightful!  All room services were convenient and loved room key parking.  Room was plenty spacious and immaculately clean."
33,Stayed in February 2018
34,"눇
The rooms we stayed in was very large and had a great view.  If you stay at Caesars Place I highly recommend staying at the Palace Tower."
35,"눇
Good location for a concert we were seeing at the Colisseum. Good restaurants  and bars. Very comfortable"
36,"눇
Location is great, very central.
Easy to arrange pick-up for group tours.
Efficient communication via text messages.
Variety of food present in the hotel.
Clean hotel and comfortable beds.
Good atmosphere."
37,"눇
It is a very good location and close to several shopping mall."
38,"눇
The Qua spa is the reason I keep coming back. It is fantastic."
39,"눇
Housekeeping was friendly and wonderful, the only good thing about being here."
40,"눇
Great location on the strip."
41,"눇
My room had a great  view and the bed was  very confortable."
42,"눇
Beautiful room, liked the check-in kiosks and that we could check-in early if we wanted. Classy, beautiful casino. Great central location on the strip. Loved the proximity to Hell's Kitchen. Gordon Ramsay Pub and Grill inside was a great dining option as well."
43,"눇
The stay was amazing, this is such an important place for Vegas loving people that it really requires no intros. It meets all expectations for 4 stars and it’s thus not cheap, but splurging some bucks on it feels such a guilty pleasure it’s awesome. Stayed in the Forum Tower, in the spirit of democracy."
44,"눇
Nice atmosphere, excellent location, big comfortable rooms."
45,"눇
Breakfast was good."
46,"눇
The food at the buffet was excellent and the bed was comfortable but sits a little too high from the floor. The room was very spacious and clean."
47,"눇
The bed was comfortable. Room was spacious. Good view of the pool. The floor we stayed on was very quiet. And the location was great."
48,"눇
I was in awe of the architecture of the building."
49,Stayed in January 2018
50,"눇
It was close to things."
51,"눇
Cafe Americano was convenient, food was outstanding, huge portions. We should have split our plates. EMTs were prompt when I fell. Security was prompt with the wheelchair. Bell desk was so fast to pick up bags at checkout we almost weren't ready. Easy self check-in, check-out"
52,"눇
The room was large, comfortable & spotless. The bathroom was huge and the soaking tub was like a hot tub. The food at Beijing Noodle was very good as was the Gordon Ramsey Pub. We were there for the Van Morrison show, so actually didn't go outside for this trip. We walked the Forum Shops for a little exercise."
53,"눇
The room was large and bed was comfortable. The whole Caesars complex is great. 
Great location on the strip. The view we had was over the pool. The concierge were very helpful and courteous."
54,"눇
Bed was comfortable.  Had to buy overpriced coffee in room for $13, k-cups, not part of stay, which I have never seen before..  It's usually part of the room.   Very nice bathroom.  Nice sofa and table.  okay tv selections.    .  Will stay elsewhere for the price and the long, long walks.  Employees were friendly, especially servers from room service."
55,"눇
Bed was very comfortable. Loved the bathroom."
56,"눇
Staff was very helpful. It was clean and spacious. A variety of restaurants and bars. The buffet was awesome."
57,"눇
Proximity to everything."
58,"눇
Location"
59,"눇
Very comfortable bed and clean bathroom. The whole facility was beautifully designed and decorated true to theme. Very ornate"
60,"눇
Checking in by a gentleman by the name of Tomek.  He was very polite and helpful in answering any and all of our questions.   All of the staff we encountered during our stay were very helpful and friendly."
61,Stayed in January 2018
62,"눇
Great location, nice and clean room"
63,Stayed in January 2018
64,"눇
Good staff and good shower"
65,"눇
Lots of stuff to do and see just inside the hotel and it has the best location on the strip."
66,Stayed in December 2017
67,Stayed in January 2018
68,"눇
excellent location and that is about it."
69,"눇
location, newly rennovated room, large room"
70,"눇
The environment is full of sculptures and colorful. It has additional buildings and mall to walk and buy things."
71,"눇
Bed comfy and room sizeable"
72,"눇
A lot of nice things to look at. I would be able to stay there a week and not have to leave because there's everything there."
73,"눇
The proximity to other events. The text messages from staff regarding issues we had."
74,"눇
I chose to stay here for the buffet. The buffet is good but the line is so long. Hotel room is clean and the casino is huge."
75,"눇
Nothing"
76,"눇
Location was great in the middle of the strip. Staff very friendly and helpful, always made time to speak and show you directions"
77,"눇
location. 
proximity. 
atmosphere.
some of the staff were GREAT‼️"
78,"눇
No amenities provided inside the room like coffee maker, coffee,etc, water, microwave,, for a property that charges arm and leg, its a poor comparison to a Marriott hotel ,, its being well known does not justify the discomfort a family endures just to get coffee in the morning"
79,"눇
I lost my credit card and it was quickly recovered by security. Room was comfortable. Lousy view, but that was to be expected for the price paid. Celine Dione was fantastic!"
80,Stayed in December 2017
81,"눇
The view was great. The suite was well appointed and very spacious but just a little tired, showing a little wear. Overall it was a great stay, hassle free and luxurious."
82,"눇
EVERYTHING and the Hospitality was A++++. The staff was friendly and very professional.  Housekeeping was awesome at keeping the room clean. I will be staying at Caesar Palace in the Future."
83,"눇
Caesar Palace is well known and the location in the heart of the strip is amazing. Also, the shows inside the casino are amazing. The rooms are big and clean and everything is available or accessible through the hotel application or the front desk."
