,neg_review
0,"It is not a family friendly hotel, I asked for a kettle to warm by baby's milk and they charged USD 10 for it. The amount is not much when you are staying at this hotel but you find it very ridiculous."
1,"Hotel was far too big. Was too hectic and wasn’t easy to get to the lifts to get up to your suite! Also, hated the fact people can smoke inside! Could smell smoke on our floor and we hate the smell of people smoking!"
2,"I mean it's Vegas, everything is expensive and to go anywhere you have to walk through a Casino. It take forever just to go from the room to the strip."
3,NOTHING
4,Every staff member in the casino area (excluding cocktail servers) we tried to approach were extremely rude
5,In room advertisement on what I believe was an internal hotel channel of a young woman soliciting viewers offering intimate communications was offensive.
6,"Had to call housekeeping in the evening as the room wasn’t made
Breakfast included is a rip off, you had better go and have breakfast at McDonald than take that option 
Paid extra charge at check in to have a view of the strip, we had a view of Trump tower..."
7,39 Dollar resort fee a night dies not give you access tithe spa - not even the simplest saunaYou walk miles in this hotel - badly organized Staff is alright but not first classHotel apart from the architecture is not much different or unique than most other Strip hotels
8,First room not cleaned properly and smelled of tobacco. Switched rooms and new room was great
9,The fridge should have room for our personal items. And no coffee maker. And lamps near bed should have plug outlet.
10,"Everything at the Venetian was exceeded our expectations. The only downside was the check-in experience. The Venetian had not received the reservation we had made through Booking and we had to wait for Booking to resolve the issue with their reservations department. After an hour wait, the Venetian was nice enough to give us a room at a much cheaper rate than the one booked through Booking while Booking worked on our reservation, which they were able to solve about 3 hours after hour arrival. It may not seem important but after traveling for 20+ hours check-in experience is almost as important as the stay itself.  This is the first time I had issues with Booking but I received not apology or compensation for such a hassle."
11,"Be aware that most US hotels and especially in Las Vegas will charge you for the room even though booking.com lists these as ""free cancellation"".  The cancellation may be free but your room will get charged and receiving a credit for the charge takes days (in most cases).  This has happened to me now several times and it is very inconvenient when I have to ""argue"" with the hotel reception about removing the ""deposit"" charge because the room was intended to be held with one credit card and paid by another. This time at the Venetian the receptionist insisted that the charge had been made by booking.com and that the room was prepaid and could not changed.  Only after speaking to his manager the prepayment (which was charged by The Venetian) was removed.  But it will now take several days until my credit card is refunded. Maybe booking.com has this point listed in small print somewhere, but advertising these rooms as ""free cancellation"" does not really paint the whole picture.  Outside of the United States the ""free cancellation"" works exactly as noted.  And probably one of the main reasons I continue to book my hotels through booking.com."
12,"The view from the room could have been better, there is an option to upgrade to get the better view however."
13,"Given the price, I expected at least complementary water but none was provided. Minibar was weighted, so you couldn't take anything out if you wanted to store your own stuff as you would get charged. Sometimes the smell of smoke from the casino floor would reach the room."
14,"Poor signs from self parking to main reception, especially due to the size of the hotel."
15,"It was a bit hard to get in and out of the hotel. We had to take two elevators and cross a bridge :) . Same with the Casino, hard to find the exit, but I'm pretty sure that one is on purpose. The room didn't have any slippers which I think is very basic for such a hotel. Towels were super rough and hurt my skin."
16,"If I had to be super picky, and I am being picky, for a luxury hotel:- seats in the Venetian reception area would be good for those with mobility issues to take a rest whilst checking in- the one area that wasn't clean in the room were the phones, covered in dust but there again these aren't used as much I suspect these days- am not a fan of the in room minibar on a weighted tray.- no complimentary water or coffee machine- small, upright in room safe. Would prefer a larger, flat laptop sized safe- towels are small (especially after you've eaten all the good food downstairs!)"
17,Lady at the dront desk was a little aggressive about our view of the room. Our view ended up looking at the AC system of the building. We had 2 rooms and she said they are right accors each other and they were not! but luckily we were in the same floor! Cut restaurant in same resort was terrible! I felt like I eat a charcoal when I asked for a well done steak and it does NOT worth the money you pay
18,Nothing. It will be hard to find something one do not like here.
19,That I had to go home!
20,"No respect to the clients. Will not recommend at all and will not be back. I can explain why.  I stayed in hotel 3 days. I paid total about 1200$, so 400$ per day. And you guys can't provide bath slippers for your clients for this amount? Really? I was so surprised about it after moved in, i made a call on reception to say that there is no slippers, and answer was ""they are not supposed to be there"". Really? For 400$ per day i have to go to bath and then walk on the dirty floor without the slippers? Okay, they said ""we gonna deliver it by your request, wait please 15 min"". I was waiting, and nothing was happen in 30 min, i get to shower, i get out of shower and just then, in 50 min totally i get my slippers) even in cheap 3 stars hotel they providing it, i just can't understand why Venezian acting with no respect and so cheap. Second reason that makes me disappointed even more, its additional charges. After moved in I realized that there is no water heater inside as well, i need it for my special herbal tea. I got a call on front desk and they say ""it's not include but you can get it for 7.50$"". So, i paid to Venezian 7.50$ plus tips to rent a water heater that totally cost on market even less than 7.50$) Nice move guys. So, of course problem not in 7.50$, thanks God i can handle it, problem in respect that you not feel at all from Venezian staff, especially when you ordering lux room for that amount of money. I know that it's all about business but there is tonns of ways to make money beside to safe it on slippers, they cost less than 50 cents... p.s. Thank you for not charging me for the air."
21,"Our view wasn't the best, despite booking a strip view room. It is a smoking casino and the smell of smoke gets into the corridors and elevators. Not good for non smokers"
22,"Outdated furniture, no coffee maker/ keurig. No view of the Stip. wanted additional $45 to get a View. I paid less in other hotels with the strip view."
23,"Having to walk through the casino to get to the room elevator banks.  The smell of smoke in the casinos, but that's Vegas."
24,Be prepared to spend a lot for food and activities if you stay mostly in the resort.
25,"We used the minibar to store our bottles of water. It was small, so we had to move the bottles inside. Because of that, the system mistakingly identified that we had opened a bottle of champagne, and charged $55. Fortunately, at checkout they confirmed if we did that (which we didn't), and reimbursed my credit card."
26,"It's so big, it takes about 5 minutes to walk to your room from the entrance :)"
27,"I mean this is not Encore and not brand new, but I don't see the appeal of Bellagio when price difference is so much"
28,"Staff was very rude. My wife asked for kettle to heat up water for my 1 year old. We were told by the staff,""I don't know where all you have stayed before, but at The Venetian we charge for kettle"". I was happy to pay the charge, without them making such rude remarks."
29,"It does not feel like a 5* Hotel at any point, more like an average 4*.
The reception staff (as well as the hotel via email) was quite pushy asking us to upgrade and since we didn’t feel the need we ended up at the back of the hotel directly on top of the casino vent which made an insufferable 24h noise making impossible to sleep. While the host that did our check in was ok, the attitude of the rest of the staff by the reception (not attending at that point) was childish, noisy and definitely not what you expect from a 5* Hotel where you expect everything to be mint end to end.
The rooms are very big and astonishing, though the electric curtains on our room didn’t work. The bathroom is huge but the toilet doors didn’t close properly...it’s in general quite worn out. In terms of room amenities you expect in a 4*+ Hotel you will not fond here. Nothing to polish your shoes, no toothbrush, no paste, no comb, no razor...really nothing! The hairdryer is as powerful as the battery on my watch so bring you own if you want my advice. 
The icing in the cake for me was the pool being closed for the season! The resort fee for the Venetian/Palazzo is the highest of the Strip yet all the other hotels down the strip had the full resort and pools open and heated and the Venetian didn’t, very disappointing. 
All in all, we were in Vegas for our honeymoon and wanted to treat ourselves going to “the best”...probably should have gone for the sure bets!"
30,"Couldn't connect to their internet.  Didn't want to wait on hold for IT when on vacation so went without internet.  Still it is nice to get away from the digital world.  However if paying a 39 dollar a day resort fee, I think the IT could be a little faster.  Maybe a little better education at check in."
31,"I booked this hotel on booking.com , which includes breakfast everyday. I paid about AUD$60 per day for this breakfast and I was expecting a buffet or at least a continental breakfast.However I was kicked out of the restaurant in the first morning because the AUD$60 breakfast only includes 4 mini muffins and a tiny fruit salad X 2.  I felt so pissed off.  In the next morning, it was even worse as there was no staff at the restaurant door to give me the AUD$60 mini muffins. I went into the this restaurant, to order a hot buffet breakfast . You know what? It was only USD$20 each. I complained to booking.com and its customer service sucks. One email said she will reply to me within 7 days, and then no more response in 2 weeks until I contacted book.com again and again. Booking.com denied any responsibility of any booking on its website and refuse to give refund of the overcharged breakfast."
32,"The breakfast option in the room charge was for TWO people regardless of how many are staying and consists of a ""grab and go"" Danish/fruit cup/coffee for two. No flexibility but fine if you like this style."
33,"Wifi very poor in rooms and throughout hotel, dirty plates left outside our door for hours. Our room key became faulty every night of our stay and we were sat outside our hotel room waiting for security to issue a new key for up to 20mins. No bottle opener in room despite there being a mini bar. In the grand scheme, there's are small issues but when you pay so much to stay there it is unacceptable."
34,My only complaint is having to walk through the smoke-filled casino to reach our room. Yuck!
35,"Housekeeping a bit slow, had to ask to have room done already after 3pm. Properly huge - confusing to navigate.Disappointed that we couldn’t upgrade room."
36,"The hotel is too big and doesn't work for people that have trouble walking long distance like my mom, very crowded. Located almost at the end of the strip"
37,The valet parking was very unfriendly
38, valet drivers were standing idly in the center and failing to provide basic guidance (as compared to Palazzo).
39,Too much smoke in the casino.  Non-smokers need their own area to breathe easier.
40,Such a long way to find the check in counter and the hotel room. Poor breakfast. No coffee maker in room
41,There was nothing not to like! It was a great hotel!
42,The room is quite dark. Checkin wait is usually long.
43,Breakfast was include in Booking.com but there was no enough information about the breakfast. I saw details about the breakfast after confirmation. It was to late to cancel the breakfast.
