,pos_review
0,"We needed to book rooms in a pinch.  The front desk employees were extremely helpful, patient, and kind.  The room was really nice, clean, and comfortable.  This hotel is great."
1,The room was so big and gorgeous.
2,"They have a great staff, lots to do onsite and huge comfy rooms"
3,We loved everything about this hotel!  We plan to stay at the Venecian next time we travel to Las Vegas.  The location of the hotel and all the shopping was fantastic.
4,Front desk agent who checked us in was extremely accommodating. Offered us an upgrade at a discounted rate.
5,"This is the 2nd time I have stayed at this beautiful facility.Beautiful amenities - luxurious bedroom and bathroomBed was wonderful!Separate sitting room with desk area with multiple electrical outletsWi-Fi fast and stable.Front desk staff helpful and welcoming even though I booked through a 3rd party.Bell staff - efficient and timely.Onsite restaurant experience - delicious meals, more affordable than expected."
6,Very nice bedroom
7,Bed was amazing and so comfy!!!! I wish I could bring the bed home with me. The hotel is absolutely worth your penny! Though we only stayed one night but it's the best decision we ever made during our honeymoon trip.
8,Good location Suite was big
9,"Spacious room and bathroom, comfortable beds, helpful staff."
10,"The room up grade to top floor, awesome, beautiful."
11,"When you book a room at the Venetian, you get a suite, in fact every room is a suite and that, makes you feel like money well spent.  I've stayed at the Venetian few times and it never disappoints.  I will come back."
12,The bed was comfortable and the bathroom was excellent
13,The room was incredibly comfortable. Staff were friendly and helpful. Restaurants and shops on the property were great. Good location on the Vegas strip.
14,One of the nicest hotels on the strip. Excellent restaurants. Staff were very helpful. Would definitely return to this hotel.
15,"The hotel is over the top. I think it suits couples rather than a group of friends as it's ""trying"" to be very classy and in a romantic style. The casino was great and huge, but very classy and a bit sleepy in oppose to the casino's I've seen in other hotels, which might be a good or bad thing depends on what you're looking for. We've booked a suite with two queen beds, which was ok, but bed should be king size if you're looking for maximum comfort. The bathroom was huge and comfy, this is where I spent most of my evening when got ready to go out."
16,"The suite room was wonderful, like having your own mini apartment in Vegas bar kitchen facilities but who would want to cook with so many great eateries on hand?!The beds (which are very high if you are short!) were exceptionally comfortable. Fabulous tvs in the sunken sitting room, bedroom and even bathroom. The sitting area was very relaxing and large with small dining table and desk. The wired internet was excellent, I didn't even mind having to do some work I had with me in such a lovely environment! Electronic blinds and curtains a great touch to the large picture windowsThe bathroom was exceptional and the most comfortable bath I have ever soaked in (be sure to treat yourself to some bath goodies). Large walk in shower, separate WC and a dedicated hair/make up area and double sinks, in marbleWe had a super view from floor 23 looking out over the strip (Mirage to left and Treasure Island to right and straight through to Red Rock Canyon).The casino is very airy and well laid out.Complimentary wheelchair hire was much appreciated and the hotel was very easy to navigate with a wheelchair.Highly recommend eating at Grand Lux (sister to The Cheesecake Factory)"
17,Love the cleanliness and size of our room. Love crib and little condiments they provide for our baby.
18,Basically everything. Good experience started with the spacious 14 storied car park-Free of charge for hotel guests. This was the first indication that the management consider all guest requirements and every other aspect followed. Checking was in the traditional manner where we were queuing up for registration but it went super-fast. Staff was outstandingly polite and helpful. The hotel is very well secured. Professional security personnel guarantee that only the registered guest get access to residential towers and guest facilities. Remember to have your key card with you. Security will not allow you to reach elevators leading to rooms if you do not have the key in hand. I booked a Luxury Sweet and realized it was fully worth the money the moment I opened the door. The sweet was beyond all my expectations and imaginations and was simply glamorous. You find top notch restaurants in the restaurant row and grand canal shoppe itself is an experience.
19,This place was absolutely amazing! The rooms are gorgeous and everything else is pretty awesome too. We won $4700 on a buffalo machine! What more could we ask for.. this was a luxury place I never thought I would be able to stay in.. I will definitely be back!!
20,"Venetian channel is amazing, especially light. Very nice bed."
21,The room was lovely and spacious.
22,Lobby and the shops/canal
23,"Beautiful rooms and great value for money. Great location - walking distance to shows, good restaurants. How Venice's St Mark's Sq. was replicated was well done. Beautiful hotel and very well maintained."
24,The opulence and size of the room. It was fantastic for a 3 day stay.
25,"Large room, big beds, free parking, fast wifi."
26,Amazing hotel with a fantastic architecture mimicing the Italian style nicely. Very polite and enthusiastic staff. Room size was much bigger than expected with a good view on the St. Mark's Campanile tower and the luxuorious pool downstairs.Had a great time there!
27,"I like Venetian restaurants, the shopping arcade and rooms. They were excellent during check-out and valet parking"
28,Great location. Very spacious rooms
29,"It’s the Venetian, so you have that going on for you! Located in the strip, largest resort, amazing restaurants, shops, etc... And the fitness centre was absolutely AMAZING! 
And the one thing I would say was truly 5* from the Venetian was their customer relationships. As per the rest of our review we were not happy with the stay at all and they contacted us personally to discuss. Considering they have 7000+ rooms, providing personalised customer support shows that they really care about each and all of their customers."
30,"Everything about this property is exquisite.  if you want to be safe, comfortable and relaxed this is the ultimate place to stay.  Everyone is nice and helpful."
31,"spacious room and big , I mean very big bathroom huge lobby a dozen staff at counter for check incasino is busy"
