,0
0,"Charged for “Resort Fee” each day (45$) && didn’t even use the gym or the pool, feel like we should only get charge one fee for the whole stay not each day or if we actually use the facilities (which we didn’t) NO coffee machine in our suite?? probably cause there was so much coffee shops around the casino, but who wants to wait in line? & checkout?? Why no checkout option on the TV? Would be easier than email, just went with the text option..."
1,No kettle in room.
2,Too fancy and very crowded! The pool was too crowded. People started going to pool at 8:00 a.m.
3,"Not much, if anything then they should provide some basic things like tooth paste and atleast a small bottle of water per day."
4,"Staff are not helpful. Everyone I talked here don’t seem to be happy. 
I like the room but hotel is too big to figure out where I was.
I had to take three or four elevators from garage to the room."
5,"It cost a small fortune to stay there yet we were not given enough information about our stay, where facilities were and how to get our inclusive breakfast. It’s basically a shopping mall with a hotel attached and they do not look after guests enough."
6,"There is no individual approach to guests, which is usually not very large hotels. Any water in the room-paid. It is not possible to use the refrigerator in the room, as the mini-bar works in automatic mode."
7,I didn’t appreciate housekeeping saying they don’t clean rooms on Sundays only the rooms where people check out.  I go to Vegas often and have never experienced anything like that and was very upset when I returned to my room at 2 am and it wasn’t clean.  I hate sleeping in an unmade bed.  I called housekeeping that night and asked to speak with a manager and was kept on hold so long... I eventually hung up.  I called the front desk later that morning and was told housekeeping made that up and they would come and clean the room but that didn’t make up for the day they missed cleaning up.  I paid too much money to not have my room cleaned.  I’m not sure if I will stay at the Venetian again or not just because of that experience.
8,"The view of the “standard” rooms are ugly (on the roof pf a warehouse)
Be careful - Don’t  remove anything from the minibar otherwise you will be charged for at checkout (it’s an electronic sensor). Fortunately we were able to be reimbursed of what we did not consume
The prices of the F&B are extremely high
Pool overcrowded- impossible to find 2 seats after 11am"
9,"Not enough towels in room, had to call.  No toiletries, had to call.  The lighting in the bathroom and room is terrible.  The shower was not very good.  Clean and nice but the pressure was bad.  Not up to the cost."
10,"The only thing was the toilet paper was almost too big to fit the feeder, making it hard to pull it out."
11,I took out 6 drinks from the fridge in order to put in my juice that I use to take my meds. I left the drinks sodas in the table and they were removed from the room and I was charged for them. I called the front desk and was told that because the drinks were taken out of the fridge I would have to pay for them. I did not see a sign stating this. I had to call the day and was finally credited this amount.
12,The restaurant Chica the food was not good i didn’t like the food i ordered didn’t eat it & still got charged for it... never going back to that restaurant
13,nobody helping with the luggage upon arrival. nobody helping with luggage after check-in even though the room is a 8 min walk from the lobby. airport shuttle not available early in the AM. And on top the internet in the room was super slow and sometimes not working at all.
14,Cleaning could have been better for a five stars hotel. There were stains in the bathrobe and on the head of the bed. The WLAN was not always stable. Long walking distance between parking and hotel room.
15,"Overpriced, slightly worn out. “Breakfast” included is actually not a hotel buffet breakfast but a grab-to-go package with coffee and pastry"
16,"My credit card was charged for initial deposit (fair!) but at check out i was charged full amount with no explanation. It was only on return home that i looked at the credit card and found out about the excess charge. On contacting them i was told the deposit would be returned after 1 week. I think this is unfair and indirect way of making interest money.
NO KETTLE in the room & we were charged $10 per kettle (2 rooms). Outrageous! 
My child had vomited night before and on return following day from Grand canyon, the stench in the room was intense and we had to clean the carpet again (was past midnight). 
Overall disappointed. Never again"
17,Just about everything.  Really not handicapped accommodating.
18,"The Breakfast is a shame for a 5 stars hôtel. We booked the room with breakfast hoping to have a buffet like every standard hotel do. But in the Venetian they give you a coupon to go to à small bakery to get a little box to grab and go ! I was desappointed and upset, we had to breakfast some where else."
19,view was crapy and we asked for adjoining room with friends which we didn't get even though it was promised
20,"View was poor from a lower level room we were given. 
Bedding was too hot. Could do with a lighter quilt this time of year (spring coming into summer)."
21,"No coffee maker. I know Vegas isn't known for being cheap, but considering all the luxurious amenities in these suites, it's silly that I can't make a cup of coffee when I wake up. Instead you have to get dressed & walk down to the casino floor for coffee. I'd give up the TV in the bathroom for a cheap coffee maker."
22,We paid to upgrade the view from our room at $50 a night and it wasn't even remotely worth that. Our bags took 30 mins to arrive in our room and 30 mins to emerge again when we left.
23,The only issue was when we checked in; we had to wait over an hour for our luggage to be brought to our room.
24,Service at Canonita was horrid.  Food was decent.
25,It’s inconvenient to take elevator from one building to another to reach your room from the check in floor.
26,"No facilities for coffee/ tea or hot drinks of any kind. Take care as mini-bar and associated snacks are expensive and get charged to your room if they get picked up (eg if you want to see what they are). When we arrived there was no price list (it appeared after cleaning on the 2nd day). 
Room service is available (for a fee though) and plenty of bars downstairs - I was just dying for a good cup of tea!!"
27,"It is not a family friendly hotel, I asked for a kettle to warm by baby's milk and they charged USD 10 for it. The amount is not much when you are staying at this hotel but you find it very ridiculous."
28,"Hotel was far too big. Was too hectic and wasn’t easy to get to the lifts to get up to your suite! Also, hated the fact people can smoke inside! Could smell smoke on our floor and we hate the smell of people smoking!"
29,"I mean it's Vegas, everything is expensive and to go anywhere you have to walk through a Casino. It take forever just to go from the room to the strip."
30,NOTHING
31,Every staff member in the casino area (excluding cocktail servers) we tried to approach were extremely rude
32,In room advertisement on what I believe was an internal hotel channel of a young woman soliciting viewers offering intimate communications was offensive.
33,"Had to call housekeeping in the evening as the room wasn’t made
Breakfast included is a rip off, you had better go and have breakfast at McDonald than take that option 
Paid extra charge at check in to have a view of the strip, we had a view of Trump tower..."
34,"39 Dollar resort fee a night dies not give you access tithe spa - not even the simplest sauna
You walk miles in this hotel - badly organized 
Staff is alright but not first class
Hotel apart from the architecture is not much different or unique than most other Strip hotels"
35,First room not cleaned properly and smelled of tobacco. Switched rooms and new room was great
36,The fridge should have room for our personal items. And no coffee maker. And lamps near bed should have plug outlet.
37,"Everything at the Venetian was exceeded our expectations. The only downside was the check-in experience. The Venetian had not received the reservation we had made through Booking and we had to wait for Booking to resolve the issue with their reservations department. After an hour wait, the Venetian was nice enough to give us a room at a much cheaper rate than the one booked through Booking while Booking worked on our reservation, which they were able to solve about 3 hours after hour arrival. It may not seem important but after traveling for 20+ hours check-in experience is almost as important as the stay itself.  This is the first time I had issues with Booking but I received not apology or compensation for such a hassle."
38,"Be aware that most US hotels and especially in Las Vegas will charge you for the room even though booking.com lists these as ""free cancellation"".  The cancellation may be free but your room will get charged and receiving a credit for the charge takes days (in most cases).  This has happened to me now several times and it is very inconvenient when I have to ""argue"" with the hotel reception about removing the ""deposit"" charge because the room was intended to be held with one credit card and paid by another. 
This time at the Venetian the receptionist insisted that the charge had been made by booking.com and that the room was prepaid and could not changed.  Only after speaking to his manager the prepayment (which was charged by The Venetian) was removed.  But it will now take several days until my credit card is refunded. 
Maybe booking.com has this point listed in small print somewhere, but advertising these rooms as ""free cancellation"" does not really paint the whole picture.  Outside of the United States the ""free cancellation"" works exactly as noted.  And probably one of the main reasons I continue to book my hotels through booking.com."
39,"The view from the room could have been better, there is an option to upgrade to get the better view however."
40,"Given the price, I expected at least complementary water but none was provided. Minibar was weighted, so you couldn't take anything out if you wanted to store your own stuff as you would get charged. Sometimes the smell of smoke from the casino floor would reach the room."
41,"Poor signs from self parking to main reception, especially due to the size of the hotel."
42,"It was a bit hard to get in and out of the hotel. We had to take two elevators and cross a bridge :) . 
Same with the Casino, hard to find the exit, but I'm pretty sure that one is on purpose. The room didn't have any slippers which I think is very basic for such a hotel. Towels were super rough and hurt my skin."
43,"If I had to be super picky, and I am being picky, for a luxury hotel:
- seats in the Venetian reception area would be good for those with mobility issues to take a rest whilst checking in
- the one area that wasn't clean in the room were the phones, covered in dust but there again these aren't used as much I suspect these days
- am not a fan of the in room minibar on a weighted tray.
- no complimentary water or coffee machine
- small, upright in room safe. Would prefer a larger, flat laptop sized safe
- towels are small (especially after you've eaten all the good food downstairs!)"
44,Lady at the dront desk was a little aggressive about our view of the room. Our view ended up looking at the AC system of the building. We had 2 rooms and she said they are right accors each other and they were not! but luckily we were in the same floor! Cut restaurant in same resort was terrible! I felt like I eat a charcoal when I asked for a well done steak and it does NOT worth the money you pay
45,Nothing. It will be hard to find something one do not like here.
46,That I had to go home!
