,Name,Nationality,Date,Score,Topic,Tags,History reviews
0,Jenna,United States of America,"Reviewed: April 18, 2018",10,It was a Dream Come True... Mahalos from AZ,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,2 Reviews
1,Clare,United Kingdom,"Reviewed: April 18, 2018",10,Room with a view! ,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,10 Reviews
2,Eugene,United States of America,"Reviewed: April 17, 2018",7.5,Central to the Mirage where we bought Boys to Men concert...,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,1 review
3,AM4Fun,Pakistan,"Reviewed: April 17, 2018",8.8,"Theme, atmosphere, nice easy feel about the Resort and its...",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,13 Reviews
4,Anonymous,United States of America,"Reviewed: April 16, 2018",6.7,We stayed at Palazzo tower suits.,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 1 night• Submitted from a mobile device,3 Reviews
5,Anonymous,United Kingdom,"Reviewed: April 16, 2018",5.4,Overpriced and underwhelming,• Leisure trip• Group• Venezia Bella Suite Upgrade + Grab N Go breakfast daily for 2• Stayed 5 nights• Submitted from a mobile device,2 Reviews
6,Gary,Switzerland,"Reviewed: April 15, 2018",10,Fantastic,• Leisure trip• Couple• Venetian Bella View Suite with Two Queen Beds• Stayed 3 nights,1 review
7,Kim,United States of America,"Reviewed: April 13, 2018",5.4,I loved how big the room was and the location ,• Leisure trip• Travelers with friends• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights• Submitted from a mobile device,1 review
8,Anonymous,France,"Reviewed: April 12, 2018",7.1,"The size of the room / facilities inside 
",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,15 Reviews
9,Patricia,United States of America,"Reviewed: April 11, 2018",6.7,"All in all, it was a pleasant stay, great food choices.  Loved the walking outside around the gondol",• Business trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights,3 Reviews
