,0
0,"amenities, view, location, restaurants, gondola, shops, LOVE waterfall, how you can walk right into the Palazzo, Cake Shakes...EVERYTHING, never left the casino for 3 days cause their was so much to do and see!!!"
1,Lovely big room. View of Mirage Hotel from Room in Venezia Tower. Very comfy bed. Friendly staff.   Pool towels. Denny’s near hotel so cheap breakfast option. Gondolas looked amazing.
2,Central to the Mirage where we bought Boys to Men concert tickets in advance.  My husband liked it and would return.  The Yardbird & Deminico'swere wonderful.  The stores  were great!
3,"Theme, atmosphere, nice easy feel about the Resort and its shopping area"
4,"We stayed at Palazzo tower suits. The room is big with seating area and bathroom has a tub, a shower and restroom."
5,It was on the strip
6,"Lovely hotel and great beautiful room. Cleaned perfectly. In the bathroom, the maid carefully arranged in a row all my tubes and bottles. For those who care, the hotel has a large and functional gym with a variety of exercise machines! Pleased with the free Valet Parking, when you give the keys to the Valet and he drives away the car. When you need to drive the car to the hotel door. Very convenient because this saves you from wandering around the huge Parking lot looking for his car."
7,I loved how big the room was and the location
8,"The size of the room / facilities inside 
You have all what you can expect from a 5* hotel 
Location right on the Strip"
9,Plenty to do and a beautiful Hotel.  Casino staff Sango and Matthew were exceptionally appreciative.  Casino not overly smokey!
10,"The view was great, the room was pretty spacy, and loved the bathroom."
11,Room was large and very clean. Staff was friendly. Beautiful hotel
12,"big bed, spacious room and a nice view."
13,"Great location next to the Strip,
Great gym and outdoor pools, great staff and security. Great shopping mall and casino within the hotel."
14,"Great location, good dining options"
15,Great location for the hotel with spacious rooms and bathroom.
16,A Pot of coffee from room service for 4 cups was $27 and I made the mistake of ordering 2 pots..  Didn't have coffee delivered again.  How about coffee makers in the room.  We won't even discuss my steak delivered for $88.00.
17,The room size and its decoration: fabulous !!
18,coffee machine in the room would be nice
19,"Amazing hotel. Different to anything we’ve stayed in before. 
Keep getting lost in the huge shopping and restaurant complex within the hotel. 
Room was spacious."
20,"Loves the bed & pillows - very comfy! Nice bathroom amenities. Beautiful, large bathroom overall! 3 TVs in the suite - seemed over the top but nice! Loved the automatic sheers & curtains. Nice touch that you can open & shut them from the bed. Felt like a high roller here even though I didn't gamble! Would've liked a coffee maker in the room - that's my only complaint."
21,"This was the absolute best hotel we have stayed in. The hotel is very large and lots to do without even stepping out onto the strip. The room was very clean, very comfy and very roomy. The staff were all so friendly and would highly recommend this property."
22,Bed was big and bath was good
23,The hotel property felt safe; excellent security and service. The elegant style of the hotel provided the perfect place for my wedding.
24,Staff was professional and helpful. Room was very luxurious and amazing. HUGE bathroom. Can't wait to go back !!!
25,Everything lovely & clean!  Staff very helpful!
26,"Large spacious room, great location on the strip and fantastic character to the hotel. Plush bathroom and really comfy, huge bed."
27,"We needed to book rooms in a pinch.  The front desk employees were extremely helpful, patient, and kind.  The room was really nice, clean, and comfortable.  This hotel is great."
28,The room was so big and gorgeous.
29,"They have a great staff, lots to do onsite and huge comfy rooms"
30,We loved everything about this hotel!  We plan to stay at the Venecian next time we travel to Las Vegas.  The location of the hotel and all the shopping was fantastic.
31,Front desk agent who checked us in was extremely accommodating. Offered us an upgrade at a discounted rate.
32,"This is the 2nd time I have stayed at this beautiful facility.
Beautiful amenities - luxurious bedroom and bathroom
Bed was wonderful!
Separate sitting room with desk area with multiple electrical outlets
Wi-Fi fast and stable.
Front desk staff helpful and welcoming even though I booked through a 3rd party.
Bell staff - efficient and timely.
Onsite restaurant experience - delicious meals, more affordable than expected."
33,Very nice bedroom
34,Bed was amazing and so comfy!!!! I wish I could bring the bed home with me. The hotel is absolutely worth your penny! Though we only stayed one night but it's the best decision we ever made during our honeymoon trip.
35,"Good location 
Suite was big"
36,"Spacious room and bathroom, comfortable beds, helpful staff."
37,"The room up grade to top floor, awesome, beautiful."
38,"When you book a room at the Venetian, you get a suite, in fact every room is a suite and that, makes you feel like money well spent.  I've stayed at the Venetian few times and it never disappoints.  I will come back."
39,The bed was comfortable and the bathroom was excellent
40,The room was incredibly comfortable. Staff were friendly and helpful. Restaurants and shops on the property were great. Good location on the Vegas strip.
41,One of the nicest hotels on the strip. Excellent restaurants. Staff were very helpful. Would definitely return to this hotel.
42,"The hotel is over the top. I think it suits couples rather than a group of friends as it's ""trying"" to be very classy and in a romantic style. The casino was great and huge, but very classy and a bit sleepy in oppose to the casino's I've seen in other hotels, which might be a good or bad thing depends on what you're looking for. We've booked a suite with two queen beds, which was ok, but bed should be king size if you're looking for maximum comfort. The bathroom was huge and comfy, this is where I spent most of my evening when got ready to go out."
