,0
0,Nil
1,"This is not 5 stars hotel. Don’t even think about staying there. We arrived with my wife at 3 pm, they didn’t give us the upgrade,because the hotel was full.  The room was at 15 floor. Downstairs it was loud disco, we called the reception and asked when the music will stop. They told us no worries, it will close at 6pm. The view from our room was horrible - huge parking and the construction area. When we came back to our room at 1.10 am. The disco was still on and the music was really loud. We called the reception. They apologized and moved us to another room - at 2 am we had to pack our staff again. Another room was also loud and uncomfortable, impossible to sleep and relax. Also the staff in the casino is very unfriendly. The restaurant had a huge waiting line (1 hour approximately) so we went to eat in the shopping center."
2,nothing-it was a bit pricey!
3,We had a strip view on 22 floor and it was noisy till 330am. (Thumping music) Next time we would request a golf course view to eliminate some of the loud music noise.
4,Cocktail service was a little slow at times in the lounges downstairs.
5,"Not the best location since it's towards the end of the strip. You can find well located hotels, with same pros but yet more modern for much a better price -Cosmopolitan, Aria, etc. Didn't stayed on those, but visited them and they are cooler -maybe better taste. If I would had to go again. I would choose a room at a high floor of the Cosmopolitan overlooking the Bellagio fountain."
6,"Resort Tax every day and the different room rates as I was booked in for 7 nights, expected room rate to be the same,"
7,There were no slippers in the room I stayed in (the cheapest kind) but it wasn't a big deal. I also missed having a kettle as I was having a bit of a cold but I know it's not Las Vegas style.
8,The check in was a car crash. Made all the notes while booking about room and beds and yet NONE of it was noticed. Had to end up upgrading and spend hundreds more. Front Desk Manager needs some training.
9,"Horrible staff. I had a problem with their security. 
Absolutely awful awful awful 
Sub par at best"
10,"Was told my room was put on a rush for check in and it wasn't ready until 5:30. Told my room key was tied to self parking and it was not. After waiting all day for a room it was dirty when I got up to it. Don't use the do not disturb, it is obviously there for no reason. The hotel knocked on my door and also called my room while I was trying to rest. I have been to this hotel in the past and received great service, however, this trip did not live up to that. Staff seemed preoccupied with personal things versus the customer."
11,"Smell of smoke in my room was unbearable (it was a non-smoking room), when I asked to move I was offered a complimentary bowl of fruit and that was it. Other than that there were no standout features and the location seemed to be at one end of the strip rather than central."
12,I liked just about everything. I just didn't LOVE anything (except the bath robe. I bought one in the shop downstairs. The best bathrobe ever.) It was impersonal and glossy but uninteresting. I was expecting more from a place like the Wynn especially the weekend before Christmas. It seems to have zero mojo...
13,Nil
14,Not one thing - wish I could have won more for our church - we are trying to build and I do wanted to bring back more to help but I did win 400. On slots - good deal - everything was great - my husbands 75 birthday and we had dinner at Sinantra - excellent
15,I was traveling with family and disappointed heavily that we couldn’t dine in NONE of fine dining restaurants! Policy of this hotel with small children PROHIBITED to even enter to the places! Crazy... Totally disappointed and would never recommend to any my friends this place! We posted even in FB to all married couples to avoid this place!!!
16,"It's definitely not worthy of these prices!!! I have no idea how the property got a better rate than Bellagio but as a frequent Vegas traveler, we are very disappointed by the facility in many terms such as hotel comfort, bed comfort, staff, location, amenities.I would never book this hotel ever again!!!"
17,"The staff there can be really unhelpful sometimes. The the tipping part, if you don't tip them ( Bell Boy or waiters) a very decent amount they give you the worst service next time you visit the bar/resto. Over priced Food. The resort fee is something also not worth especially after your paying a bomb for the rooms. No coffee machine in the room."
18,"Over priced, the tower suit is the same as the regular room the only difference is the view and one has double bed and the other has 2 twin bed.
My experience with the front desk when i checked in was bad as the lady was very rude and didn’t greet me or smiled.
My experience in Tableau restaurant was bad as it started with a stinky fork then it ended up with a hair in my pan cake plate. The waiter didn’t apologize or made any effort to make it up to us. 
My experience the third day in Tableau was also bad as the front desk of the restaurant told us to go for breakfast in Le jardin so we went all tge way from le Tableau to Le Jardin with my 2 children who were so hungry. When we reached there they told us the breakfast is in La Terrase.... o we had to go all the way back there. They were fully booked so we ended up with no breakfast as we had to checkout and leave.... 
I also saw ignorance from the front desk of the tower suite concierge as i complained about the hair and the fork and he said that he will get back to me but didn’t. 
Overall, I found that the hotel look amazing but the service is very bad.
Regards,
May"
19,Paying for parking. There needed to be pillows for those who don't want bulky pillows. Noisy toilet. Poor shower design (shower doors should open the opposite way and there isn't sufficient room to stand because of the shower seat). No movies are provided without paying for them.
20,There was nothing we didn't like
21,walking though smoky casino area to get to guest rooms
22,Wish we didn’t have to pay a resort fee oh $39:00 per day. Received nothing for the money. Never used any services.
23,Could have done without the huge buffet queue for breakfast so we gave that a miss and went elsewhere or ordered room service which was excellent and quick.
24,"6 to 5 odds on blackjack tables. Being steered towards those instead of the 3 to 2 odds, despite being a high roller. Doesn't feel like a gamblers casino. Feels more like a nice vacation spot (which isn't necessarily a bad thing)."
25,Can't think of anything
26,Couldn't find fresh fruit as a breakfast option. I wanted something like Muesli/porridge/fruit.
27,"The extras were expensive - add on a “resort fee” to even get wifi, minibar very pricey, not even a kettle in the room so you would have to pay for tea or coffee. Add tips to everything as well."
28,"Only a couple of gripes, paid 50% extra for quick laundry and was late, found the parasol down bar service to be slow."
29,We had a problem when we got in. The reservation and the credit card and we did not receive a good welcome. The rooms you booked with booking typically are the worst when the hotel assign you the room. They gave us in the lowest floor with rhe view of the air conditioning machines that were working 24hs. The hotel is great but not as expected. Next time will book directly to get a better room and treatment.
30,We love everything in this Hotel.
31,We were turned away from the wing lei ( Chinese restaurant because of our shoes which were 700$ Margiela open toe shoes!!( we were certainly the best dressed people in there!) we wore long pants and collard shirts as we were told...even though at the front table was a guy with an old tee shirt
32,Nothing
33,"- There are no slippers or anything else in the rooms.
- Check-in is dead slow.
- They said the wifi is free but they try to take 19.99 USD per day when we check-out."
34,"Smoke in casino.
Cosmopolitan had a nicer smell.
It was a little expensive with the exchange on the Canadian dollar"
35,The Casino was a bit small I think. The more expensive resturants are not as good as they are pricey so disappointed from the 'Country Club' and that the hotel's bistro was booked for a few nights in advance
36,The booking price was not accurate (booking.com issue) as the weekend rate was much higher than what was displayed online at time of making the reservation.
37,"Smoking in casino area.  Not pleasant if you are a non smoker, even walking through the casino made you smell of cigarette (cigar) smoke. No non smoking area around the pool."
38,About 80% of staff we encountered were not very helpful and different teams seemed like they were working for different companies. No cohesion between front desk and concierge for instance. I was highly recommended the Wynn by discerning friends but the overall service let us down quite badly.
