,Name,Nationality,Date,Score,Topic,Tags,History reviews
0,Lincoln,Australia,"Reviewed: March 22, 2018",10,Best hotel to stay on the strip,• Leisure trip• Group• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,9 Reviews
1,Lari,Russia,"Reviewed: March 22, 2018",3.8,This is not 5 stars hotel.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
2,Geoffrey,United Kingdom,"Reviewed: March 20, 2018",9.2,having great accommodation made the trip to Las vegas even better.,• Leisure trip• Group• Panoramic View Deluxe• Stayed 5 nights,13 Reviews
3,Ashley,United States of America,"Reviewed: March 20, 2018",10,We had a strip view on 22 floor and it was noisy till 330am.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
4,Carol,United States of America,"Reviewed: March 8, 2018",10,We love staying here... this and the Encore best in Las Vegas!,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,2 Reviews
5,Rodrigo,United States of America,"Reviewed: February 25, 2018",8.8,"Great, but probably not the best choice",• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,5 Reviews
6,Chris,United Kingdom,"Reviewed: February 21, 2018",10,Excellent thoroughly enjoyable,• Leisure trip• Couple• Deluxe Resort King• Stayed 8 nights,2 Reviews
7,Minna,Finland,"Reviewed: February 21, 2018",10,Everybody's a VIP at a 5 star hotel,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 1 night,7 Reviews
8,Clive Barker,Singapore,"Reviewed: February 11, 2018",9.6,For the Wynn! Always choose to return here.,• Business trip• Couple• Deluxe Resort King• Stayed 7 nights,36 Reviews
9,Mary,United States of America,"Reviewed: February 6, 2018",5.5,"5 star hotel? They wish.  Sub par, at best",• Business trip• Solo traveler• Deluxe Resort King• Stayed 6 nights• Submitted from a mobile device,1 review
10,Charles,United States of America,"Reviewed: January 31, 2018",4.2,You should get the service you pay for!,• Business trip• Group• Deluxe Resort King• Stayed 3 nights,1 review
11,Adam,United Kingdom,"Reviewed: January 29, 2018",2.9,"Uninspiring hotel compared to every other I visited on my trip, smell of smoke and unhelpful staff",• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights,1 review
12,Barbara,United States of America,"Reviewed: January 11, 2018",7.9,Comfortable but uninteresting.,• Leisure trip• Group• 2 rooms• Stayed 2 nights,8 Reviews
13,Edwin,Singapore,"Reviewed: January 10, 2018",10,It was ok,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,2 Reviews
14,Judy,United States of America,"Reviewed: January 7, 2018",10,Wonderful wonderful wonderful,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
15,Farhad,Russia,"Reviewed: January 6, 2018",5.0,I was traveling with family and disappointed heavily that we...,• Family with young children• Panoramic View Deluxe• Stayed 2 nights• Submitted from a mobile device,5 Reviews
16,Maral,Turkey,"Reviewed: January 6, 2018",3.3,It's definitely not worthy of these prices!,• Leisure trip• Family with young children• Panoramic View Double Deluxe• Stayed 2 nights,2 Reviews
17,Anonymous,United Arab Emirates,"Reviewed: January 3, 2018",7.9,"Location, Room and the views ",• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,4 Reviews
18,May,Qatar,"Reviewed: December 29, 2017",4.2,Very nice architecture and decoration.,• Leisure trip• Family with young children• Tower Room• Stayed 3 nights• Submitted from a mobile device,6 Reviews
19,Donald,United States of America,"Reviewed: December 18, 2017",9.2,Very luxurious accomodations.,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,5 Reviews
20,Ferenc,Hungary,"Reviewed: December 10, 2017",10,excelent luxury hotel in the heart  of the cíty,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 1 night,9 Reviews
21,Vicky,United States of America,"Reviewed: November 27, 2017",9.2,"Top of the line, for a Vegas Visit",• Business trip• Solo traveler• Deluxe Resort King• Stayed 2 nights,19 Reviews
22,Howard,United States of America,"Reviewed: November 27, 2017",10,Extremely pleasant,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
23,John,United States of America,"Reviewed: November 24, 2017",10,"Superb. Just book it, you won’t regret it.",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,28 Reviews
24,Amanda,United Kingdom,"Reviewed: November 24, 2017",9.6,Pure class. Will be back.,• Leisure trip• Couple• Deluxe Resort King• Stayed 8 nights• Submitted from a mobile device,5 Reviews
25,Kyle,United States of America,"Reviewed: November 22, 2017",10,Service was exceptional.,• Business trip• Group• Deluxe Resort King• Stayed 2 nights,1 review
26,Anonymous,United States of America,"Reviewed: November 18, 2017",10,Spoiled from beginning to end,• Leisure trip• Couple• Deluxe Resort King• Stayed 6 nights• Submitted from a mobile device,1 review
27,Timothy,Ireland,"Reviewed: November 16, 2017",9.2,"Loved the hotel and will stay again. Clean, friendly and well equipped",• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 3 nights,3 Reviews
28,Anonymous,Australia,"Reviewed: November 14, 2017",8.8,Expensive treat hotel,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,3 Reviews
29,Stephen,United Kingdom,"Reviewed: November 6, 2017",8.3,Great place and great casino,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,2 Reviews
30,Gonzalo,Argentina,"Reviewed: November 5, 2017",5.0,Hotel excellent BUT not good because we went trough booking.com,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,2 Reviews
31,Bernadeth,United States of America,"Reviewed: November 3, 2017",10,Amazing Hotel and very accommodating and it's pretty clean,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,3 Reviews
32,Anonymous,United States of America,"Reviewed: October 26, 2017",5.4,Ok,• Leisure trip• Group• Parlor Suite• Stayed 2 nights• Submitted from a mobile device,1 review
33,Anonymous,United Kingdom,"Reviewed: October 26, 2017",10,Amazing,• Leisure trip• Solo traveler• Resort Double Deluxe• Stayed 4 nights,1 review
34,M. Taha,Turkey,"Reviewed: October 25, 2017",8.3,Best Hotel and Casino in Las Vegas.,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 3 nights,13 Reviews
35,Wayne,Canada,"Reviewed: October 23, 2017",10,Excellent Hotel to celebrate our friends Birthday and Anniversary,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,3 Reviews
36,Anonymous,Israel,"Reviewed: October 21, 2017",10,Luxurios!,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,10 Reviews
37,Ann,United States of America,"Reviewed: October 19, 2017",7.5,"location, pool, our room was very comfy and bathroom was...",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,9 Reviews
38,Lou,United Kingdom,"Reviewed: October 18, 2017",10,The best hotel on the Strip!,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,14 Reviews
39,Anonymous,United Kingdom,"Reviewed: October 10, 2017",5.8,Overall disappoining,• Leisure trip• Group• Panoramic View Double Deluxe• Stayed 5 nights• Submitted from a mobile device,4 Reviews
40,David,United Kingdom,"Reviewed: October 9, 2017",9.6,The resort  fee should be included in the basic price and...,• Leisure trip• Couple• Deluxe Resort King• Stayed 6 nights,22 Reviews
41,Wayne,United Kingdom,"Reviewed: October 6, 2017",10,"An incredible hotel, with a superb gym and pool, plus lovely rooms and staff",• Leisure trip• Group• Deluxe Resort King• Stayed 4 nights,15 Reviews
42,Suzanne,United Kingdom,"Reviewed: October 3, 2017",9.2,Not quite the LA experience we wanted partly due to the terrible shooting stopping us from going,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,18 Reviews
43,Donna,United States of America,"Reviewed: October 3, 2017",10,welcome at the front door sets the tone .,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 2 nights,1 review
44,Copymag,Belgium,"Reviewed: September 29, 2017",9.2,One of the best hotels in Vegas,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,5 Reviews
45,Sami,United Kingdom,"Reviewed: September 25, 2017",7.9,Room was amazing with the view.,• Leisure trip• Travelers with friends• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,4 Reviews
46,Stephanie,United Kingdom,"Reviewed: September 25, 2017",6.7,"The Buffet was amazing, the beds were very comfortable!",• Leisure trip• Group• 2 rooms• Stayed 3 nights,1 review
47,Alessandro,Brazil,"Reviewed: September 22, 2017",9.6,Fantastic!,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,22 Reviews
48,Simon,United Kingdom,"Reviewed: September 22, 2017",9.6,Beautiful Hotel worth the extra mile to stay in and experience,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,3 Reviews
49,Mo,Thailand,"Reviewed: September 18, 2017",10,Best choice for Las Vegas,• Leisure trip• Group• Resort Double Deluxe• Stayed 3 nights,20 Reviews
50,Ulmer,United States of America,"Reviewed: September 18, 2017",9.6,"An unbelievable hotel, I will go there again.",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,4 Reviews
51,Hanadi,United Arab Emirates,"Reviewed: September 17, 2017",9.6,A Hotel of a Kind,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,16 Reviews
52,Husain T.,Saudi Arabia,"Reviewed: September 16, 2017",3.8,"Bad hotel, be careful ",• Leisure trip• Family with young children• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,9 Reviews
53,Maria,United Kingdom,"Reviewed: September 15, 2017",10,Vegas baby! ....I'll be back!!,• Business trip• Group• Tower Room• Stayed 4 nights• Submitted from a mobile device,4 Reviews
54,Amanda,Canada,"Reviewed: September 15, 2017",9.2,"Beautiful hotel, excellent service a 5 star!!",• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
55,Lee,United States of America,"Reviewed: September 12, 2017",5.4,Not a good experience.,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 3 nights,2 Reviews
56,Jehangir,Canada,"Reviewed: September 12, 2017",7.5,The worst experience of its kind.,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights,16 Reviews
57,Jaap,Netherlands,"Reviewed: September 10, 2017",8.3,Nice room with great views.,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights,18 Reviews
58,Xiayue,Thailand,"Reviewed: September 9, 2017",9.6,I'll be back!,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,5 Reviews
59,Gal,Israel,"Reviewed: September 8, 2017",3.8,Representative at check in was convincing us to upgrade the...,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,3 Reviews
60,Anonymous,Lebanon,"Reviewed: September 7, 2017",9.2,Don't look anywhere else. Best one in Vegas!,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,13 Reviews
61,Kit,Hong Kong,"Reviewed: September 6, 2017",8.8,A beautiful hotel to stay. Makes your trip in the Vegas more enjoyable!,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,11 Reviews
62,Mark,United States of America,"Reviewed: September 5, 2017",8.8,"Beautiful property, great restaurants",• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
63,Malena,Germany,"Reviewed: September 4, 2017",8.8,"Nice, modern Vegas style hotel",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,12 Reviews
64,Georgi,United Kingdom,"Reviewed: September 4, 2017",7.9,"Stayed 5 nights. The hotel is nice, but not impressed by the service. Valet parking is good.",• Leisure trip• Couple• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,17 Reviews
65,Sommar,Australia,"Reviewed: August 23, 2017",6.7,"I have been charged for the property twice, it was a shame we had to wait so long to check in",• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,5 Reviews
66,Parul,United Arab Emirates,"Reviewed: August 14, 2017",10,Amazing experience!,• Leisure trip• Group• Parlor Suite• Stayed 2 nights• Submitted from a mobile device,4 Reviews
67,nbinsaeed,Saudi Arabia,"Reviewed: August 12, 2017",9.6,One of the most luxurious hotels in Vegas,• Leisure trip• Family with young children• 2 rooms• Stayed 3 nights• Submitted from a mobile device,20 Reviews
